epoch,train_loss,validation_loss,backbone_learning_rate,head_learning_rate
1,0.020022928511102996,0.01584094749142726,1e-05,0.0001
2,0.017617844447493553,0.015006533774236839,1e-05,0.0001
3,0.015531648606061935,0.014252904951572418,1e-05,0.0001
4,0.013759225986897945,0.013796744321783384,1e-05,0.0001
5,0.013855227706333002,0.013307624297837417,1e-05,0.0001
6,0.013279059464732805,0.013339267298579215,1e-05,0.0001
7,0.012595433448751768,0.013193105695148309,1e-05,0.0001
