epoch,train_loss,validation_loss,backbone_learning_rate,head_learning_rate
1,0.02248483930528164,0.019326426709691685,0.001,0.001
2,0.019556173289815584,0.02217689817150434,0.001,0.001
3,0.017598745957016944,0.015011029566327732,0.001,0.001
4,0.017318193721274536,0.020036222512523332,0.001,0.001
5,0.016251170287529627,0.015589779168367386,0.001,0.001
6,0.017154255501925945,0.01663798709710439,0.001,0.001
7,0.01532236740241448,0.012793875088294347,0.0005,0.0005
