target_column,parameter,mae,rmse,plcc,srcc
overall_quality,Загальна якість,10.62403,13.34243,0.78345937,0.7803460159736597
brightness_quality,Яскравість,10.250141,12.722986,0.6646782,0.6355465603893583
colorfulness_quality,Кольоровість,9.21423,11.402126,0.6758217,0.6521343439944285
contrast_quality,Контраст,9.567658,11.8447695,0.6910817,0.6757753976501542
noise_quality,Якість щодо шуму,10.771952,13.404973,0.6928979,0.6984630892808315
sharpness_quality,Різкість,12.354591,15.313571,0.7920329,0.7823575557384083
