target_column,parameter,mae,rmse,plcc,srcc
overall_quality,Загальна якість,8.4670725,10.797241,0.8642614,0.8587159732188469
brightness_quality,Яскравість,8.805578,10.996124,0.7543737,0.7243870515102897
colorfulness_quality,Кольоровість,7.850027,9.950747,0.7595333,0.7368133499955137
contrast_quality,Контраст,8.213656,10.305727,0.773123,0.75380898443032
noise_quality,Якість щодо шуму,9.70588,12.0571,0.7660633,0.7714461226946736
sharpness_quality,Різкість,9.430271,12.338771,0.8711871,0.8542206547350075
